# BUSCO version is: 5.8.2 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	SUPER_22	4450327	4292042	-	16430.4	7963	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	SUPER_Z	410439	283303	-	9283.4	4246	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	SUPER_99	1926319	1833003	-	25323.1	14028	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	SUPER_71	3279975	3074321	-	10511.6	5417	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	SUPER_38	3610411	3823705	+	13346.6	6763	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	SUPER_81	2885065	2862542	-	5604.5	2811	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	SUPER_96	20046	175476	+	8157.3	4213	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	SUPER_46	3228014	3273267	+	7947.0	3866	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	SUPER_15	3902230	3847016	-	7028.1	4157	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	SUPER_110	2337937	2312575	-	6712.7	3160	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	SUPER_85	3303504	3291225	-	7054.9	3495	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	SUPER_11	1789746	1685346	-	6482.6	3338	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	SUPER_Z	13518437	13589393	+	6478.0	3458	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	SUPER_109	2270719	2183446	-	6616.4	4160	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	SUPER_3	1774081	1723053	-	6469.7	3706	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	SUPER_70	233774	164540	-	6405.8	3190	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	SUPER_27	1880139	1823922	-	6818.7	3543	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	SUPER_16	4286763	4317573	+	6278.1	3664	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	SUPER_Z	675060	607082	-	5187.7	3058	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	SUPER_3	4970111	4917369	-	3651.4	2705	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	SUPER_105	943227	1003396	+	6048.2	2950	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	SUPER_44	4490033	4475660	-	3578.3	1961	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	SUPER_13	3726326	3688264	-	5104.2	2570	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	SUPER_59	2245605	2311809	+	4505.3	2694	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	SUPER_37	413224	311779	-	5028.3	2598	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	SUPER_29	3818952	3699668	-	3933.8	2641	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	SUPER_16	135863	89024	-	5124.3	2339	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	SUPER_3	6014183	6050379	+	4056.1	2265	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	SUPER_33	3063745	3133304	+	5311.8	2786	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	SUPER_6	1079317	1147749	+	5319.1	2421	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	SUPER_66	329535	415608	+	4920.9	2761	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	SUPER_82	1258853	1297437	+	4475.8	2321	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	SUPER_15	5079179	5042255	-	5077.7	1947	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	SUPER_72	3786705	3833235	+	5364.9	3317	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	SUPER_111	2241754	2303832	+	4734.0	2782	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	SUPER_40	4489617	4459077	-	4060.8	2009	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
65at7088	Complete	SUPER_63	2856286	2523984	-	4823.0	2509	https://v10-1.orthodb.org/?query=65at7088	Domain of unknown function DUF1088
66at7088	Complete	SUPER_20	971590	1013083	+	4022.7	1791	https://v10-1.orthodb.org/?query=66at7088	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
68at7088	Complete	SUPER_Z	5714231	5837615	+	4891.0	2467	https://v10-1.orthodb.org/?query=68at7088	Cell morphogenesis central region
69at7088	Complete	SUPER_60	3890810	3915484	+	4137.3	2132	https://v10-1.orthodb.org/?query=69at7088	FKBP12-rapamycin binding domain
70at7088	Duplicated	SUPER_33	164736	175976	+	4327.5	2955	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
70at7088	Duplicated	SUPER_36	1383511	1372280	-	4307.8	2947	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
72at7088	Complete	SUPER_67	2605669	2730229	+	4669.8	2447	https://v10-1.orthodb.org/?query=72at7088	Filamin/ABP280 repeat-like
74at7088	Complete	SUPER_28	899847	1028687	+	4849.7	2298	https://v10-1.orthodb.org/?query=74at7088	Zinc finger C2H2-type
78at7088	Complete	SUPER_28	4686838	4602108	-	5515.4	3426	https://v10-1.orthodb.org/?query=78at7088	Baculoviral IAP repeat-containing protein 6
83at7088	Complete	SUPER_3	3272537	3387025	+	3947.1	2113	https://v10-1.orthodb.org/?query=83at7088	RyR/IP3R Homology associated domain
84at7088	Complete	SUPER_101	737041	800642	+	4696.1	2386	https://v10-1.orthodb.org/?query=84at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
86at7088	Complete	SUPER_45	2370438	2417506	+	3585.2	1999	https://v10-1.orthodb.org/?query=86at7088	UME domain
88at7088	Complete	SUPER_64	2910732	2927858	+	5486.5	2896	https://v10-1.orthodb.org/?query=88at7088	Chromo domain
96at7088	Complete	SUPER_Z	7745340	7793769	+	3913.4	2006	https://v10-1.orthodb.org/?query=96at7088	Laminin G domain
101at7088	Complete	SUPER_Z	15359515	15529731	+	2925.2	1776	https://v10-1.orthodb.org/?query=101at7088	PHR
103at7088	Complete	SUPER_4	5497867	5426862	-	4046.0	2085	https://v10-1.orthodb.org/?query=103at7088	Calcium-dependent secretion activator domain
105at7088	Complete	SUPER_3	1678605	1716630	+	6108.9	3909	https://v10-1.orthodb.org/?query=105at7088	EGF-like calcium-binding domain
106at7088	Complete	SUPER_29	136460	115568	-	4313.7	2378	https://v10-1.orthodb.org/?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	SUPER_67	2015978	1973937	-	3944.6	2059	https://v10-1.orthodb.org/?query=112at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	SUPER_Z	15353386	15134212	-	4152.6	2270	https://v10-1.orthodb.org/?query=113at7088	Dbl homology (DH) domain
116at7088	Complete	SUPER_70	765556	784590	+	3362.5	1712	https://v10-1.orthodb.org/?query=116at7088	FERM central domain
122at7088	Complete	SUPER_25	3012941	2946538	-	3133.9	1665	https://v10-1.orthodb.org/?query=122at7088	Tetratricopeptide repeat
